section,exercise_number,exercise_text,a,b,c,d,e,f,graphic,answer,solution
"Admitere F1 iulie 2009","2009.A.13.","Un generator produce aceeaşi putere electrică într-un rezistor cu rezistența de $9 \Omega$ sau într-un rezistor cu rezistența de $16 \Omega$. Rezistența internă a generatorului este: ( 5 pct.)\\","$4 \Omega$","$12 \Omega$","$6 \Omega$","$10 \Omega$","$24 \Omega$","$2 \Omega$","N/A","b","Conform condiţiei problemei,\\ $I_{1}^{2} R_{1}=I_{2}^{2} R_{2}$ sau $\frac{E^{2} R_{1}}{\left(R_{1}+r\right)^{2}}=\frac{E^{2} R_{1}}{\left(R_{2}+r\right)^{2}}$, adică $R_{1}\left(R_{2}+r\right)^{2}=R_{2}\left(R_{1}+r\right)^{2}$, de unde $r=\sqrt{R_{1} R_{2}}=12 \Omega$. Răspuns corect b.\\"
"Admitere F1 iulie 2009","2009.A.14.","Unitatea de măsură a rezistivității electrice în S. I. este: (5 pct.)\\","$\mathrm{V}$","$\Omega \cdot \mathrm{m}$","$\Omega$","$\Omega / \mathrm{m}$","$\mathrm{A}$","$\Omega \cdot m^{2}$","N/A","b","Răspuns corect b.\\"
"Admitere F1 iulie 2009","2009.A.15.","Printr-un conductor de lungime $100 \mathrm{~m}$ şi sectiune $1 \mathrm{~mm}^{2}$ trece un curent de $1,6 \mathrm{~A}$ dacă la capetele lui se aplică o tensiune de $4 \mathrm{~V}$. Rezistivitatea materialului din care este confecționat conductorul este: (5 pct.)\\","$2 \cdot 10^{-8}$","$2,5 \cdot 10^{-6} \Omega \cdot \mathrm{m}$","$4 \cdot 10^{-8} \Omega \cdot \mathrm{m}$","$2,5 \cdot 10^{-8} \Omega \cdot \mathrm{m}$","$3 \cdot 10^{-8} \Omega$","$5 \cdot 10^{-8} \Omega / \mathrm{m}$","N/A","d","Din legea lui Ohm, $U=I R=I \frac{\rho l}{S}$ rezultă $\rho=\frac{U S}{I l}=2,5 \cdot 10^{-8} \Omega \cdot \mathrm{m}$. Răspuns corect d.\\"
"Admitere F1 iulie 2009","2009.A.16.","O maşină termică ideală funcționează după un ciclu Carnot între temperaturile $T_{1}=400 \mathrm{~K}$ şi $T_{2}=300 \mathrm{~K}$. Știind că în timpul unui ciclu maşina primeşte căldura $Q_{1}=400 \mathrm{~kJ}$, lucrul mecanic efectuat de maşină în timpul unui ciclu este: (5 pct.)\\","$100 \mathrm{~J}$","$20000 \mathrm{~J}$","$400 \mathrm{~J}$","$125 \mathrm{~kJ}$","$100 \mathrm{~kJ}$","$420 \mathrm{~kJ}$","N/A","e","Randamentul unei maşini termice ideale este:\\ $\eta=\frac{L}{Q}=1-\frac{T_{2}}{T_{1}}$;\\ De aici lucrul mecanic este:\\ $L=Q_{1}(1-\frac{T_{2}}{T_{1}})=100 \mathrm{~kJ}$. Răspuns corect e.\\"
"Admitere F1 iulie 2009","2009.A.17.","Pentru a încălzi izobar cu $5 \mathrm{~K}$ o cantitate de $10 \mathrm{~moli}$ de hidrogen se transmite gazului căldura $Q=915 \mathrm{~J}$. Știind că $R=8,3 \mathrm{~J} /(\mathrm{mol} \cdot \mathrm{K})$, variația energiei interne a gazului în procesul considerat este: (5 pct.)\\","$508 \mathrm{~J}$","$412 \mathrm{~J}$","$500 \mathrm{~J}$","$550 \mathrm{~J}$","$485 \mathrm{~J}$","$512 \mathrm{~J}$","N/A","c","Conform primului principiu al termodinamicii:\\ $\Delta U=Q-L=Q-\nu R \Delta T=500 \mathrm{~J}$. Răspuns corect c.\\"
"Admitere F1 iulie 2009","2009.A.18.","Utilizând notaţiile din manualele de fizică, expresia legii lui Ohm pentru circuitul simplu este: (5 pct.)\\","$E=\frac{I}{R+r}$","$I=\frac{E}{R}$","$P=U \cdot I$","$I=\frac{E}{R+r}$","$U=R \cdot I$","$I=\frac{E}{r}$","N/A","d","Răspuns corect d.\\"
"Admitere F iulie 2010","2010.A.1.","La capetele unui fir conductor se aplică o tensiune de $12 \mathrm{~V}$ . În timp de 1 minut prin acest fir trece o sarcină electrică de $72 \mathrm{~C}$. Rezistenţa electrică a firului este:\\","$12 \Omega$","$16 \Omega$","$10 \Omega$","$8 \Omega$","$14 \Omega$","$15,5 \Omega$","N/A","c","Intensitatea curentului care trece prin fir este $I=\frac{q}{\Delta t}$, iar din legea lui Ohm, $I=\frac{U}{R}$, rezultă rezistenţa electrică a firului $R=\frac{U \Delta t}{q}=10 \Omega$.\\ Răspuns corect c.\\"
"Admitere F iulie 2010","2010.A.2.","Un fir de cupru (coeficientul termic al rezistivităţii $\alpha=4 \cdot 10^{-3}$ grad $^{-1}$) are rezistenţa $R_{0}=10 \Omega$ la temperatura de $0^{\circ} \mathrm{C}$. Neglijând dilatarea firului, rezistenţa acestuia la temperatura de $100^{\circ} \mathrm{C}$ este:\\","$8 \Omega$","$14 \Omega$","$50 \Omega$","$6 \Omega$","$4 \Omega$","$12 \Omega$","N/A","b","Rezistenţa firului la $100^{\circ} \mathrm{C}$, este: $R_{100}=R_{0}(1+\alpha \Delta t)=14 \Omega$.\\ Răspuns corect b.\\"
"Admitere F iulie 2010","2010.A.3.","Un acumulator cu t.e.m. $E=12 \mathrm{~V}$ are intensitatea curentului de scurtcircuit $I_{s c}=40 \mathrm{~A}$. Legând la bornele acumulatorului un rezistor, tensiunea la bornele sale devine $U=11 \mathrm{~V}$. Valoarea rezistenţei rezistorului este:\\","$4,5 \Omega$","$3,5 \Omega$","$3,3 \Omega$","$4 \Omega$","$2,5 \Omega$","$3 \Omega$","N/A","c","Din relaţia curentului de scurtcircuit, $I_{s c}=\frac{E}{r}$, obţinem rezistenţa internă, $r$, a sursei. Din legea lui Ohm, $I=\frac{E}{R+r}$ şi $I=\frac{U}{R}$, obţinem rezistenţa $R$ a rezistorului: $R=\frac{U E}{I_{s c}(E-U)}=3,3 \Omega$.\\ Răspuns corect c.\\"
"Admitere F iulie 2010","2010.A.4.","Două surse identice de curent continuu având fiecare t.e.m. de $12 \mathrm{~V}$ şi rezistenţa internă de $0,4 \Omega$ sunt legate în paralel la bornele unui rezistor cu rezistenţa de $5,8 \Omega$. Puterea disipată pe rezistor este:\\","$12,6 \mathrm{~W}$","$18,4 \mathrm{~W}$","$23,2 \mathrm{~W}$","$12 \mathrm{~W}$","$5,8 \mathrm{~W}$","$45,2 \mathrm{~W}$","N/A","c","Puterea disipată pe rezistor este $P=R I^{2}$ cu $I=\frac{E}{R+\frac{r}{2}}$; rezultă $P=23,2 \mathrm{~W}$.\\ Răspuns corect c.\\"
"Admitere F iulie 2010","2010.A.5.","Legea lui Ohm pentru o porţiune de circuit care nu conţine generatoare electrice, scrisă cu notaţiile din manualele de fizică, este:\\","$I=\frac{E}{r}$","$I=\frac{U}{R}$","$I=\frac{E}{R+r}$","$I=U R$","$U=\frac{I}{R}$","$P=U I$","N/A","b","Legea lui Ohm pentru o porţiune de circuit este $I=\frac{U}{R}$.\\ Răspuns corect b.\\"
"Admitere F iulie 2010","2010.A.6.","În cazul transferului maxim de putere, randamentul unui circuit de curent continuu format dintr-un generator cu t.e.m $E$, rezistenţa internă $r$ şi un rezistor cu rezistenţa $R$ este:\\","$75 \%$","$95 \%$","$50 \%$","$\frac{2 R}{R+r}$","$25 \%$","$\frac{R E^{2}}{(R+r)^{2}}$","N/A","c","Transferul maxim de putere se produce când $R=r$. În acest caz, randamentul circuitului este: $\eta=\frac{P_{u}}{P_{c}}=\frac{R}{R+r}=50 \%$.\\ Răspuns corect c.\\"
"Admitere F iulie 2010","2010.A.7.","Un corp se deplasează rectiliniu uniform pe o suprafaţă orizontală pe distanţa de $10 \mathrm{~m}$, sub acţiunea unei forţe orizontale de $10 \mathrm{~N}$. Lucrul mecanic al forţei de frecare este:\\","$-1 \mathrm{~J}$","$1 \mathrm{~J}$","$-100 \mathrm{~J}$","$100 \mathrm{~J}$","$-10 \mathrm{~J}$","$10 \mathrm{~J}$","N/A","c","Deoarece deplasarea este uniformă, forţa de tracţiune este egalată de forţa de frecare (cele două forțe având sens contrar), astfel încât: $L_{r}=-F_{t r} \cdot d=-100 \mathrm{~J}$.\\ Răspuns corect c.\\"
"Admitere F iulie 2010","2010.A.8.","Un corp este aruncat vertical în sus cu viteza iniţială $v_{0}=15 \mathrm{~m} / \mathrm{s}$. Cunoscând acceleraţia gravitaţională $g=10 \mathrm{~m} / \mathrm{s}^{2}$, timpul după care corpul revine pe sol este:\\","$2,5 \mathrm{~s}$","$1,5 \mathrm{~s}$","$1 \mathrm{~s}$","$3 \mathrm{~s}$","$3,5 \mathrm{~s}$","$2 \mathrm{~s}$","N/A","d","Timpul de urcare este egal cu timpul de coborâre în punctul de lansare: $t=t_{u}+t_{c}=2 \frac{v_{0}}{g}=3 \mathrm{~s}$.\\ Răspuns corect d.\\"
"Admitere F iulie 2010","2010.A.9.","Căldura se măsoară în S.I. cu aceeaşi unitate de măsură ca:\\","temperatura","cantitatea de substanţă","energia cinetică","capacitatea calorică","căldura molară","căldura specifică","N/A","c","$[\text { căldura }]_{\text {SI }}=[\text { energia cinetică }]_{\text {SI }}=\mathrm{J}$\\ Răspuns corect c.\\"
"Admitere F iulie 2010","2010.A.10.","Utilizând notaţiile din manualele de fizică, expresia energiei cinetice este:\\","$\frac{m v}{2}$","$m g h$","$\frac{m v^{2}}{2}$","$\frac{k x^{2}}{2}$","$m v^{2}$","$\frac{k v^{2}}{2}$","N/A","c","Expresia energiei cinetice este: $E_{c}=\frac{m v^{2}}{2}$.\\ Răspuns corect c.\\"
"Admitere F iulie 2010","2010.A.11.","O cantitate de gaz ideal parcurge un ciclu format dintr-o transformare izocoră în care presiunea creşte de 8 ori, o destindere adiabatică şi o comprimare izobară. Exponentul adiabatic este $\gamma=1,5$. Randamentul ciclului este:\\","$0,571$","$3 / 16$","$5 / 16$","$5 / 14$","$43,8 \%$","$4 / 15$","N/A","d","Randamentul ciclului este $\eta=1-\frac{\left|Q_{c}\right|}{Q_{p}}$, unde $Q_{p}$ este căldura primită pe izocoră, iar $Q_{c}$ este căldura cedată pe izobară: $Q_{p}=\nu C_{V}\left(T_{2}-T_{1}\right)$, respectiv $\left|Q_{c}\right|=\nu C_{p}\left(T_{3}-T_{1}\right)$. Din transformarea izocoră, $\frac{p_{1}}{T_{1}}=\frac{p_{2}}{T_{2}}$, rezultă $T_{2}=8 T_{1}$ şi $T_{2}-T_{1}=7 T_{1}$. Din transformările izobară, $\frac{V_{1}}{T_{1}}=\frac{V_{3}}{T_{3}}$, şi adiabatică, $p_{2} V_{1}^{\gamma}=p_{1} V_{3}^{\gamma}$, rezultă $T_{3}=4 T_{1}$ şi $T_{3}-T_{1}=3 T_{1}$. Astfel, $\eta=1-\gamma \frac{3}{7}=\frac{5}{14}$.\\ Răspuns corect d.\\"
"Admitere F iulie 2010","2010.A.12.","Unitatea de măsură a acceleraţiei în S.I. este:\\","$\mathrm{s} / \mathrm{m}$","$\mathrm{m} / \mathrm{s}^{2}$","$\mathrm{m} \cdot \mathrm{s}^{-1}$","$\mathrm{m} / \mathrm{s}$","$m \cdot s$","$m \cdot s^{2}$","N/A","b","$[a]_{\mathrm{SI}}=\mathrm{m} / \mathrm{s}^{2}$.\\ Răspuns corect b.\\"
"Admitere F iulie 2010","2010.A.13.","O maşină termică ideală funcţionează după un ciclu Carnot, temperatura sursei reci fiind $300 \mathrm{~K}$, iar cea a sursei calde cu $200 \mathrm{~K}$ mai mare. În cursul unui ciclu lucrul mecanic produs este $L=0,2 \mathrm{~kJ}$. Valoarea absolută a căldurii cedate sursei reci într-un ciclu este:\\","$0,1 \mathrm{~kJ}$","$0,3 \mathrm{~kJ}$","$0,5 \mathrm{~kJ}$","$0,2 \mathrm{~kJ}$","$0,6 \mathrm{~kJ}$","$0,8 \mathrm{~kJ}$","N/A","b","Din expresia randamentului ciclului Carnot, $\eta=\frac{L}{Q_{p}}=1-\frac{T_{\text {rece}}}{T_{\text {cald}}}$, rezultă căldura primită $Q_{p}$, iar din lucrul mecanic $L=Q_{p}-\left|Q_{c}\right|$ obţinem $\left|Q_{c}\right|=\frac{L}{1-\frac{T_{\text {rece}}}{T_{\text {cald}}}}-L=0,3 \mathrm{~kJ}$.\\ Răspuns corect b.\\"
"Admitere F iulie 2010","2010.A.14.","Un gaz ideal se destinde adiabatic. La finalul procesului volumul gazului este de 8 ori mai mare şi presiunea este de 32 de ori mai mică. Exponentul adiabatic este:\\","$3 / 5$","$5 / 3$","$1,75$","$3 / 2$","$7 / 5$","$2$","N/A","b","Ecuaţia transformării adiabatice, $p_{1} V_{1}^{\gamma}=p_{2} V_{2}^{\gamma}$, se scrie $p_{1} V_{1}^{\gamma}=\frac{p_{1}}{32}\left(8 V_{1}\right)^{\gamma}$, de unde rezultă $\gamma=5 / 3$.\\ Răspuns corect b.\\"
"Admitere F iulie 2010","2010.A.15.","Cunoscând $R$ - constanta universală a gazelor perfecte şi $\gamma$ - exponentul adiabatic, căldura molară la presiune constantă este:\\","$\gamma R$","$\frac{\gamma}{\gamma-1} R$","$\frac{\gamma}{\gamma+1} R$","$\frac{R}{\gamma-1}$","$(\gamma-1) R$","$(\gamma+1) R$","N/A","b","Din relaţia Robert-Mayer, $C_{p}=C_{V}+R$ şi expresia exponentului adiabatic, $\gamma=\frac{C_{p}}{C_{V}}$, obţinem $C_{p}=\frac{\gamma}{\gamma-1} R$.\\ Răspuns corect b.\\"
"Admitere F iulie 2010","2010.A.16.","Un autoturism începe sa frâneze cu acceleraţie constantă. După ce a parcurs un sfert din distanţa până la oprire, viteza este egală cu $40 \sqrt{3} \mathrm{~km} / \mathrm{~h}$. Viteza autoturismului în momentul începerii frânării este:\\","$50 \mathrm{~km} / \mathrm{~h}$","$60 \sqrt{3} \mathrm{~km} / \mathrm{~h}$","$25 \mathrm{~m} / \mathrm{~s}$","$20 \mathrm{~m} / \mathrm{~s}$","$100 \mathrm{~km} / \mathrm{~h}$","$80 \mathrm{~km} / \mathrm{~h}$","N/A","f","Scriem relaţia lui Galilei, $v=\sqrt{v_{0}^{2}+2 a d}$, pentru distanţa până la oprire: $0=\sqrt{v_{0}^{2}-2 a d}$ 'şi pentru un sfert din această distanţă: $v_{1}=\sqrt{v_{0}^{2}-\frac{a d^{\prime}}{2}}$. Rezultă $v_{0}=80 \mathrm{~km} / \mathrm{h}$.\\ Răspuns corect f.\\"
"Admitere F iulie 2010","2010.A.17.","O cantitate de gaz ideal aflată la presiunea de $8,4 \cdot 10^{6} \mathrm{~Pa}$ şi temperatura de $280 \mathrm{~K}$ suferă o transformare izocoră la sfârşitul căreia temperatura devine $250 \mathrm{~K}$. Presiunea finală este:\\","$7 \mathrm{~MPa}$","$6 \mathrm{~MPa}$","$5,5 \mathrm{~MPa}$","$6,5 \mathrm{~MPa}$","$7,5 \mathrm{~MPa}$","$5 \mathrm{~MPa}$","N/A","e","Din ecuaţia transformării izocore, $\frac{p_{1}}{T_{1}}=\frac{p_{2}}{T_{2}}$, rezultă $p_{2}=7,5 \mathrm{~MPa}$.\\ Răspuns corect e.\\"
"Admitere F iulie 2010","2010.A.18.","Peste un scripete fix ideal este trecut un fir de masă neglijabilă. Firul trece printr-un manşon fix care exercită asupra sa o forţă de frecare constantă egală cu $32 \mathrm{~N}$. La un capăt al firului este legat un corp de masă $m_{1}=3 \mathrm{~kg}$, la capătul celălalt unul de masă $m_{2}$. Sistemul se mişcă uniform. Se cunoaşte $g=10 \mathrm{~m} / \mathrm{s}^{2}$. Masa $m_{2}$ este:\\","$3 \mathrm{~kg}$","$6 \mathrm{~kg}$","$5,5 \mathrm{~kg}$","$0,2 \mathrm{~kg}$","$6,2 \mathrm{~kg}$","$0,5 \mathrm{~kg}$","N/A","e","Ecuaţiile de mişcare a celor două corpuri sunt: $m_{1} g-T_{1}=0$ şi $m_{2} g-T_{2}=0$, la care se adaugă ecuaţia pentru fir: $T_{2}-T_{1}-F_{f}=0$. Rezultă $m_{2}=m_{1}+\frac{F_{f}}{g}=6,2 \mathrm{~kg}$.\\ Răspuns corect e.\\"
"Admitere F iulie 2011","2011.A.1.","În S.I. lucrul mecanic se măsoară în:\\","$\mathrm{kg} \cdot \frac{\mathrm{m}}{\mathrm{s}^{2}}$","$\mathrm{W}$","$\mathrm{kg} \cdot \frac{\mathrm{m}}{\mathrm{s}}$","$\frac{\mathrm{N}}{\mathrm{m}}$","$\mathrm{J}$","$\mathrm{kWh}$","N/A","e","Din relaţia de definiţie a lucrului mecanic obţinem $[L]_{\mathrm{SI}}=[F]_{\mathrm{SI}} \cdot[d]_{\mathrm{SI}}=\mathrm{N} \cdot \mathrm{~m}=\mathrm{J}$\\ Răspuns corect e.\\"
"Admitere F iulie 2011","2011.A.2.","Un ciclu format din două izocore de volume $V_{1}$ şi $V_{2}=e^{2} V_{1}$ ($e$ este baza logaritmilor naturali) şi două izoterme de temperaturi $T_{1}=400 \mathrm{~K}$ şi $T_{2}=300 \mathrm{~K}$, este parcurs de un gaz ideal a cărui căldură molară la volum constant este $C_{V}=\frac{5}{2} R$, unde $R$ este constanta gazelor ideale. Randamentul unei maşini termice care funcţionează după acest ciclu este:\\","$\frac{2}{13}$","$\frac{5}{17}$","$\frac{8}{21}$","$\frac{4}{13}$","$\frac{2}{21}$","$\frac{4}{21}$","N/A","f","Randamentul maşinii termice este $\eta=1-\frac{\left|Q_{c}\right|}{Q_{p}}$, unde $Q_{c}=Q_{34}+Q_{41}$, respectiv $Q_{p}=Q_{12}+Q_{23}$.\\ Astfel: $\left|Q_{c}\right|=\nu C_{V}\left(T_{1}-T_{2}\right)+\nu R T_{2} \ln \frac{V_{2}}{V_{1}}$ iar $Q_{p}=\nu C_{V}\left(T_{1}-T_{2}\right)+\nu R T_{1} \ln \frac{V_{2}}{V_{1}}$.\\ Calculând $\ln \frac{V_{2}}{V_{1}}=2$, rezultă $\eta=\frac{4}{21}$.\\ Răspuns corect f.\\"
"Admitere F iulie 2011","2011.A.3.","Două corpuri având masele egale cu $200 \mathrm{~g}$ sunt legate cu un fir trecut peste un scripete fix. Forţa care acţionează asupra scripetelui este ($g=10 \frac{\mathrm{m}}{\mathrm{s}^{2}}$):\\","$5 \mathrm{~N}$","$0,5 \mathrm{~N}$","$1 \mathrm{~N}$","$2 \mathrm{~N}$","$3 \mathrm{~N}$","$4 \mathrm{~N}$","N/A","f","Reacţiunea $R$ în scripete este $R=2 T$, iar $T=G$. Rezultă $R=2 m g=4 \mathrm{~N}$.\\ Răspuns corect f.\\"
"Admitere F iulie 2011","2011.A.4.","O cantitate de gaz ideal se încălzeşte la volum constant până când temperatura sa creşte cu $120 \mathrm{~K}$, iar presiunea cu $30 \%$ faţă de presiunea iniţială. Temperatura iniţială a gazului este:\\","$500 \mathrm{~K}$","$100 \mathrm{~K}$","$400 \mathrm{~K}$","$300^{\circ} \mathrm{C}$","$400^{\circ} \mathrm{C}$","$200 \mathrm{~K}$","N/A","c","Introducând datele problemei în legea transformării izocore, $\frac{p_{i}}{T_{i}}=\frac{p_{f}}{T_{f}}$, obţinem: $\frac{p_{i}}{T_{i}}=\frac{p_{i}+0,3 p_{i}}{T_{i}+120}$. Rezultă $T_{i}=400 \mathrm{~K}$.\\ Răspuns corect c.\\"
"Admitere F iulie 2011","2011.A.5.","Raportul dintre presiunea şi densitatea unei cantităţi de gaz ideal este constant în transformarea:\\","izotermă","izobară","adiabatică","generală","ireversibilă","izocoră","N/A","a","Deoarece $V=\frac{m}{\rho}$, din ecuaţia termică de stare a gazului ideal, $p V=\nu R T$, se obţine raportul dintre presiune şi densitate: $\frac{p}{\rho}=\frac{\nu R T}{m}$. Pentru o cantitate dată de gaz acest raport este constant în transformarea izotermă ($T=$ const.).\\ Răspuns corect a.\\"
"Admitere F iulie 2011","2011.A.6.","Un corp este aruncat pe verticală de jos în sus cu viteza iniţială $v_{0}=20 \frac{\mathrm{m}}{\mathrm{s}}$. Înălţimea maximă la care ajunge corpul este ($g=10 \frac{\mathrm{m}}{\mathrm{s}^{2}}$):\\","$10 \mathrm{~m}$","$15 \mathrm{~m}$","$20 \mathrm{~m}$","$16 \mathrm{~m}$","$5 \mathrm{~m}$","$12 \mathrm{~m}$","N/A","c","Neglijând frecarea cu aerul, din legea de conservare a energiei mecanice, $E_{c i}+E_{p i}=E_{c f}+E_{p f}$, obţinem: $\frac{m v_{0}^{2}}{2}=m g h_{\text {max}}$.\\ Rezultă $h_{\text {max}}=20 \mathrm{~m}$.\\ Răspuns corect c.\\"
"Admitere F iulie 2011","2011.A.7.","Pentru funcţionare normală un bec cu puterea de $2 \mathrm{~W}$, trebuie alimentat la o tensiune de $6 \mathrm{~V}$. Rezistenţa becului este egală cu:\\","$15 \Omega$","$18 \Omega$","$9,8 \Omega$","$20 \Omega$","$2 \Omega$","$10 \Omega$","N/A","b","Din relaţia de definiţie a puterii electrice, $P=\frac{U^{2}}{R}$, obţinem $R=18 \Omega$.\\ Răspuns corect b.\\"
"Admitere F iulie 2011","2011.A.8.","Un ampermetru poate măsura un curent electric continuu de intensitate maximă egală cu $2 \mathrm{~A}$. Legând la bornele acestuia un şunt având rezistenţa de 20 de ori mai mică decât rezistenţa internă a ampermetrului, curentul maxim ce poate fi măsurat este:\\","$20 \mathrm{~A}$","$42 \mathrm{~A}$","$40 \mathrm{~A}$","$21 \mathrm{~A}$","$19 \mathrm{~A}$","$10 \mathrm{~A}$","N/A","b","Tensiunea maximă suportată la borne de ampermetru (având rezistenţa internă $R_{A}$) este $U=I_{\max} R_{A}=2 R_{A}$. Întrucât şuntul se leagă în paralel cu ampermetrul, tensiunea la bornele lui este aceeaşi dar curentul care îl străbate este de 20 de ori mai mare: $I_{S}=\frac{U}{R_{S}}=\frac{U}{R_{A} / 20}=20 \frac{U}{R_{A}}=40 \mathrm{~A}$. Ca urmare, intensitatea curentului maxim ce poate fi măsurat de ampermetrul prevăzut cu şunt este $I=I_{\text {max}}+I_{S}=42 \mathrm{~A}$.\\ Răspuns corect b.\\"
"Admitere F iulie 2011","2011.A.9.","Se cunoaşte că sub acţiunea unei forţe $F=221 \mathrm{~N}$ un fir de cupru (cu modulul de elasticitate $E=13 \cdot 10^{10} \frac{\mathrm{N}}{\mathrm{m}^{2}}$) se alungeşte cu $\Delta l=0,15 \mathrm{~m}$. Cunoscând rezistivitatea cuprului $\rho=1,7 \cdot 10^{-8} \Omega \cdot \mathrm{m}$, rezistenţa electrică a firului este:\\","$15 \Omega$","$0,1 \Omega$","$1 \Omega$","$0,3 \Omega$","$2 \Omega$","$1,5 \Omega$","N/A","f","Rezistenţa electrică a unui conductor depinde de natura şi dimensiunile sale conform relaţiei $R=\rho \frac{l}{S}$. Din legea lui Hooke, $\frac{F}{S}=E \frac{\Delta l}{l}$, rezultă raportul între lungimea și secţiunea transversală a conductorului: $\frac{l}{S}=E \frac{\Delta l}{F}$. Astfel, rezistenţa conductorului este: $R=\rho E \frac{\Delta l}{F}=1,5 \Omega$.\\ Răspuns corect f.\\"
"Admitere F iulie 2011","2011.A.10.","Căderea de tensiune pe rezistenţa internă a unei surse electrice conectate la un rezistor extern este de $1 \mathrm{~V}$, iar randamentul circuitului este egal cu $0,8$. Tensiunea electromotoare a sursei este:\\","$1,25 \mathrm{~V}$","$2,25 \mathrm{~V}$","$5 \mathrm{~V}$","$9 \mathrm{~V}$","$1,8 \mathrm{~V}$","$4 \mathrm{~V}$","N/A","c","Din relaţia randamentului unui circuit electric, $\eta=\frac{P_{u}}{P_{c}}=\frac{U I}{E I}$, exprimat în funcţie de tensiunea electromotoare $E$ a sursei şi căderea de tensiune $u$ pe rezistenţa sa internă, $\eta=1-\frac{u}{E}$, rezultă: $E=5 \mathrm{~V}$.\\ Răspuns corect c.\\"
"Admitere F iulie 2011","2011.A.11.","Căldura degajată la trecerea unui curent electric de intensitate $I$ printr-un conductor având rezistenţa $R$ în timpul $\Delta t$ este:\\","$R I \Delta t^{2}$","$\frac{R^{2} \Delta t}{I}$","$I R^{2} \Delta t$","$R I \Delta t$","$\frac{I^{2} \Delta t}{R}$","$R I^{2} \Delta t$","N/A","f","Expresia matematică a legii lui Joule este: $Q=R I^{2} \Delta t$.\\ Răspuns corect f.\\"
"Admitere F iulie 2011","2011.A.12.","Printr-un fir conductor trece un curent de $0,5 \mathrm{~mA}$ timp de 2 ore. În acest timp prin fir trece o sarcină electrică egală cu:\\","$25 \mathrm{~C}$","$100 \mathrm{~mA}$","$100 \mathrm{~C}$","$3,6 \mathrm{~C}$","$100 \mathrm{~mC}$","$25 \mathrm{~mC}$","N/A","d","Din relaţia de definiţie a intensităţii curentului electric, $I=\frac{q}{\Delta t}$, obţinem: $q=3,6 \mathrm{~C}$.\\ Răspuns corect d.\\"
"Admitere F iulie 2011","2011.A.13.","Două corpuri având masele $m_{1}=0,5 \mathrm{~kg}$ şi $m_{2}=2 \mathrm{~kg}$ se află pe un plan înclinat de unghi $\alpha=\frac{\pi}{6}$. Cele două corpuri sunt în contact unul cu celalalt, corpul de masă $m_{1}$ aflându-se mai jos. Coeficienţii de frecare cu planul ai corpurilor sunt respectiv $\mu_{1}=0,3$ și $\mu_{2}=0,2$. Cunoscând $g=10 \frac{\mathrm{~m}}{\mathrm{~s}^{2}}$, forţa pe care corpul de masă $m_{2}$ o exercită asupra corpului de masă $m_{1}$ în timpul coborârii pe plan este:\\","$\sqrt{3} \mathrm{~N}$","$0,2 \mathrm{~N}$","$0,5 \sqrt{3} \mathrm{~N}$","$2 \mathrm{~N}$","$0,2 \sqrt{3} \mathrm{~N}$","$1,4 \mathrm{~N}$","N/A","e","Ecuaţiile de mişcare a celor două corpuri în contact care coboară cu acceleraţia $a$ pe planul înclinat sunt: $m_{1} a=m_{1} g\left(\sin \alpha-\mu_{1} \cos \alpha\right)+T$, respectiv $m_{2} a=m_{2} g\left(\sin \alpha-\mu_{2} \cos \alpha\right)-T$, unde $T$ este forţa de interacţiune dintre corpuri (forţa cu care corpul de masă $m_{2}$ îl împinge pe cel de masă $m_{1}$, dar şi forţa, egală şi de sens contrar, cu care reacţionează corpul de masă $m_{1}$). Rezolvând sistemul de două ecuaţii obţinem: $T=g \frac{m_{1} m_{2}}{m_{1}+m_{2}}\left(\mu_{1}-\mu_{2}\right) \cos \alpha=0,2 \sqrt{3} \mathrm{~N}$.\\ Răspuns corect e.\\"
"Admitere F iulie 2011","2011.A.14.","Un autoturism având puterea motorului de $75 \mathrm{~kW}$ se deplasează cu o viteză constantă de $180 \mathrm{~km} / \mathrm{h}$. Forţa de rezistenţă la înaintare este egală cu ($g=10 \mathrm{~m} / \mathrm{s}^{2}$) :\\","$3000 \mathrm{~N}$","$15000 \mathrm{~N}$","$750 \mathrm{~N}$","$1500 \mathrm{~N}$","$2000 \mathrm{~N}$","$150 \mathrm{~N}$","N/A","d","În cazul deplasării cu viteză constantă, forţa de rezistenţă la înaintare este egală cu forţa dezvoltată de motorul autoturismului. Astfel, $F_{r}=\frac{P}{V}=1500 \mathrm{~N}$.\\ Răspuns corect d.\\"
"Admitere F iulie 2011","2011.A.15.","În SI unitatea de măsură pentru exponentul adiabatic este:\\","$\frac{\mathrm{J}}{\mathrm{mol} \cdot \mathrm{K}}$","$\frac{\mathrm{J}}{\mathrm{K}}$","nu are unitate de măsură","$\frac{\mathrm{J}}{\mathrm{kg}}$","$\mathrm{Pa} \cdot \mathrm{m}^{-3}$","$\frac{\mathrm{m}^{2}}{\mathrm{N}}$","N/A","c","Relaţia de definiţie a exponentului adiabatic este $\gamma=\frac{C_{p}}{C_{V}}$, unde $C_{p}$ reprezintă căldura molară la presiune constantă, iar $C_{V}$ este căldura molară la volum constant, ambele mărimi având unitatea de măsură în SI $\mathrm{J} / \mathrm{mol} \cdot \mathrm{K}$. Prin urmare, exponentul adiabatic, $\gamma$, este o mărime adimensională.\\ Răspuns corect c.\\"
